LOCATION,TIME,UE,CPI,c_ue,c_cpi
CAN,2010-01-01,8.116667,92.02002,-3.0845731343283624,1.7768810580015229
CAN,2011-01-01,7.558333,94.69976,-6.878858033722456,2.9121271653711824
CAN,2012-01-01,7.333333,96.13511,-2.9768468788025153,1.5156849394338483
CAN,2013-01-01,7.125,97.03713,-2.8409046745865716,0.938283630195053
CAN,2014-01-01,6.941667,98.88728,-2.573094736842108,1.906641303179514
CAN,2015-01-01,6.941667,100.0,0.0,1.125240779198291
CAN,2016-01-01,7.05,101.4288,1.560619372839406,1.4287999999999954
CAN,2017-01-01,6.4,103.0485,-9.21985815602836,1.5968837253324586
CAN,2018-01-01,5.891667,105.3858,-7.942703125000006,2.2681552861031444
CAN,2019-01-01,5.733333,107.4401,-2.6874227616733934,1.9493138544282036
CAN,2020-01-01,9.558333,108.2104,66.71512015785581,0.7169576349984838
CHE,2011-01-01,4.401403,102.0979,-8.370592755298599,0.23129263721709692
CHE,2012-01-01,4.48394,101.3908,1.8752429623008713,-0.6925705621761045
CHE,2013-01-01,4.746688,101.1705,5.8597572670463975,-0.21727809623752314
CHE,2014-01-01,4.829303,101.1571,1.7404767281944917,-0.01324496765361869
CHE,2015-01-01,4.80018,100.0,-0.6030476861774925,-1.1438643456564095
CHE,2016-01-01,4.918711,99.56538,2.4693032344620396,-0.43461999999999534
CHE,2017-01-01,4.797114,100.0968,-2.4721314181703375,0.5337397396564921
CHE,2018-01-01,4.714227,101.0341,-1.7278513706365848,0.9363935710232428
CHE,2019-01-01,4.394452,101.4007,-6.783190542160993,0.36284779099334324
CHE,2020-01-01,4.815328,100.6647,9.577439917423145,-0.7258332536165966
CHL,1987-01-01,10.9275,14.97458,-9.801898472967396,19.880748333030454
CHL,1988-01-01,9.7525,17.1735,-10.752688172043017,14.68435174809578
CHL,1989-01-01,7.9025,20.0978,-18.96949500128172,17.02797915392901
CHL,1990-01-01,7.7575,25.33056,-1.8348623853210955,26.036481604951778
CHL,1991-01-01,8.155,30.84867,5.12407347728004,21.784397976199504
